ttl;humidity;deviceId;co2;temperature;timestamp;datetime
1793636186.0;39.6;esp32-001;827.0;24.18;1762100185000.0;2025-11-02 16:16:25.000000000
1793636205.0;39.5;esp32-001;843.0;24.18;1762100204000.0;2025-11-02 16:16:44.000000000
1793636223.0;39.6;esp32-001;867.0;24.18;1762100223000.0;2025-11-02 16:17:03.000000000
1793636242.0;39.6;esp32-001;856.0;24.18;1762100241000.0;2025-11-02 16:17:21.000000000
1793636261.0;39.5;esp32-001;842.0;24.18;1762100260000.0;2025-11-02 16:17:40.000000000
1793636280.0;39.4;esp32-001;821.0;24.18;1762100279000.0;2025-11-02 16:17:59.000000000
1793636298.0;39.4;esp32-001;841.0;24.19;1762100298000.0;2025-11-02 16:18:18.000000000
1793636317.0;39.4;esp32-001;840.0;24.18;1762100316000.0;2025-11-02 16:18:36.000000000
1793636336.0;39.3;esp32-001;846.0;24.18;1762100335000.0;2025-11-02 16:18:55.000000000
1793636354.0;39.6;esp32-001;853.0;24.18;1762100354000.0;2025-11-02 16:19:14.000000000
1793636373.0;39.5;esp32-001;843.0;24.18;1762100372000.0;2025-11-02 16:19:32.000000000
1793636392.0;39.5;esp32-001;868.0;24.18;1762100391000.0;2025-11-02 16:19:51.000000000
1793636410.0;39.5;esp32-001;839.0;24.18;1762100410000.0;2025-11-02 16:20:10.000000000
1793636434.0;39.4;esp32-001;863.0;24.18;1762100433000.0;2025-11-02 16:20:33.000000000
1793636453.0;39.6;esp32-001;850.0;24.18;1762100452000.0;2025-11-02 16:20:52.000000000
1793636472.0;39.8;esp32-001;848.0;24.18;1762100471000.0;2025-11-02 16:21:11.000000000
1793636491.0;39.7;esp32-001;847.0;24.18;1762100490000.0;2025-11-02 16:21:30.000000000
1793636509.0;39.7;esp32-001;873.0;24.18;1762100509000.0;2025-11-02 16:21:49.000000000
1793636528.0;39.7;esp32-001;879.0;24.18;1762100527000.0;2025-11-02 16:22:07.000000000
1793636547.0;39.6;esp32-001;874.0;24.18;1762100546000.0;2025-11-02 16:22:26.000000000
1793636568.0;39.5;esp32-001;873.0;24.18;1762100567000.0;2025-11-02 16:22:47.000000000
1793636587.0;39.3;esp32-001;875.0;24.18;1762100586000.0;2025-11-02 16:23:06.000000000
1793636606.0;39.3;esp32-001;915.0;24.18;1762100605000.0;2025-11-02 16:23:25.000000000
1793636625.0;39.2;esp32-001;919.0;24.18;1762100624000.0;2025-11-02 16:23:44.000000000
1793636643.0;39.2;esp32-001;886.0;24.18;1762100642000.0;2025-11-02 16:24:02.000000000
1793636662.0;39.3;esp32-001;926.0;24.18;1762100661000.0;2025-11-02 16:24:21.000000000
1793636681.0;39.4;esp32-001;924.0;24.18;1762100680000.0;2025-11-02 16:24:40.000000000
